review_id,user_id,feature_name,review_text,rating,sentiment,issue_category,support_ticket_flag,app_version,timestamp
R000020,U008221,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.5.0,2024-12-19 17:17:00
R000021,U008222,Watch Party,Room creation fails half the time. Very frustrating.,1.0,negative,Bug,0,4.2.0,2025-01-01 01:28:00
R000022,U002704,Watch Party,Watch party crashes every single time I try to use it. Completely broken. Still waiting for a fix.,1.0,negative,Bug,1,4.3.0,2024-10-19 13:37:00
R000023,U001839,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.1.3,2024-08-01 03:30:00
R000024,U006792,Watch Party,My friends can never join. Garbage feature.,1.0,negative,Bug,1,4.1.3,2024-10-21 15:28:00
R000025,U005124,Watch Party,My friends can never join. Garbage feature.,1.0,negative,Bug,0,4.2.1,2025-02-02 03:55:00
R000026,U001045,Watch Party,"Watch party worked flawlessly. Great concept, please keep improving it!",5.0,positive,Positive Experience,0,4.4.2,2025-01-30 22:08:00
R000027,U009834,Watch Party,Room creation fails half the time. Very frustrating.,1.0,negative,Bug,1,4.4.3,2024-08-09 17:19:00
R000028,U008013,Watch Party,Had to retry 3 times before the session started.,,negative,Crashes,0,4.4.4,2024-08-06 05:13:00
R000029,U010441,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.3.0,2024-08-04 16:45:00
R000030,U005988,Watch Party,Watch party crashes every single time I try to use it. Completely broken.,1.0,negative,Bug,0,4.4.3,2025-01-19 13:10:00
R000031,U006264,Watch Party,This feature is a joke. Never works on smart TV.,1.0,negative,Bug,0,4.1.1,2024-09-02 23:52:00
R000032,U011896,Watch Party,"Watch party worked flawlessly. Great concept, please keep improving it! Still waiting for a fix.",5.0,positive,Positive Experience,0,4.1.3,2024-10-01 18:19:00
R000033,U008905,Watch Party,Had to retry 3 times before the session started.,2.0,negative,Crashes,0,4.3.3,2024-09-29 19:05:00
R000034,U011443,Watch Party,My friends can never join. Garbage feature.,1.0,negative,Bug,1,4.2.3,2024-10-08 18:01:00
R000035,U009147,Watch Party,Had to retry 3 times before the session started.,2.0,negative,Crashes,0,4.3.0,2024-11-28 03:46:00
R000036,U002944,Watch Party,Had to retry 3 times before the session started.,2.0,negative,Crashes,0,4.4.4,2024-12-09 15:31:00
R000037,U008118,Watch Party,Watch party crashes every single time I try to use it. Completely broken.,1.0,negative,Bug,1,4.4.1,2024-09-19 03:51:00
R000038,U006840,Watch Party,"Invited 3 friends, app froze before we could even start. Useless.",1.0,negative,Bug,0,4.5.0,2024-11-08 10:38:00
R000039,U007166,Watch Party,This feature is a joke. Never works on smart TV.,1.0,negative,Bug,0,4.4.4,2025-01-27 14:39:00
R000040,U006931,Watch Party,The syncing is off. Our streams weren't in sync at all.,2.0,negative,Crashes,0,4.4.3,2024-09-23 22:06:00
R000041,U011089,Watch Party,Room creation fails half the time. Very frustrating.,1.0,negative,Bug,0,4.5.2,2025-01-13 07:34:00
R000042,U008692,Watch Party,Room creation fails half the time. Very frustrating.,1.0,negative,Bug,1,4.4.0,2024-12-09 10:01:00
R000043,U005798,Watch Party,"Invited 3 friends, app froze before we could even start. Useless.",1.0,negative,Bug,1,4.4.2,2025-02-08 18:44:00
R000044,U008514,Watch Party,Works sometimes. Hoping they improve stability. Still waiting for a fix.,3.0,neutral,Too Many Steps,0,4.2.0,2024-11-18 19:46:00
R000045,U005841,Watch Party,"Watch party sometimes works, but loading is painfully slow.",2.0,negative,Crashes,1,4.5.0,2024-11-11 13:44:00
R000046,U003538,Watch Party,Watch party crashes every single time I try to use it. Completely broken. Really needs work.,1.0,negative,Bug,0,4.5.2,2024-09-18 02:52:00
R000047,U011832,Watch Party,The syncing is off. Our streams weren't in sync at all. Still waiting for a fix.,2.0,negative,Crashes,0,4.1.4,2024-08-26 23:41:00
R000048,U007357,Watch Party,Watch party crashes every single time I try to use it. Completely broken. Still waiting for a fix.,1.0,positive,Bug,1,4.5.0,2024-10-28 12:44:00
R000049,U006326,Watch Party,My friends can never join. Garbage feature.,1.0,negative,Bug,0,4.5.2,2025-02-05 09:23:00
R000050,U011040,Watch Party,"Watch party sometimes works, but loading is painfully slow.",2.0,negative,Crashes,1,4.4.0,2025-02-08 20:51:00
R000051,U007245,Watch Party,"Invited 3 friends, app froze before we could even start. Useless.",1.0,negative,Bug,0,4.2.4,2025-01-29 17:08:00
R000052,U001995,Watch Party,Watch party is okay but could use better friend invite options.,3.0,neutral,Too Many Steps,0,4.2.2,2025-01-25 00:43:00
R000053,U009809,Watch Party,Watch party is okay but could use better friend invite options. Highly disappointing.,3.0,neutral,Too Many Steps,0,4.1.1,2024-09-12 02:29:00
R000054,U006607,Watch Party,"Watch party worked flawlessly. Great concept, please keep improving it!",5.0,positive,Positive Experience,0,4.2.2,2025-02-12 11:14:00
R000055,U002831,Watch Party,"INVITED 3 FRIENDS, APP FROZE BEFORE WE COULD EVEN START. USELESS.",1.0,negative,Bug,0,4.2.0,2025-02-17 05:26:00
R000056,U010871,Watch Party,Watch party crashes every single time I try to use it. Completely broken.,1.0,negative,Bug,0,4.3.2,2024-10-08 10:18:00
R000057,U004540,Watch Party,Watch party is okay but could use better friend invite options.,3.0,neutral,Too Many Steps,0,4.4.3,2024-12-25 01:01:00
R000058,U009197,Watch Party,This feature is a joke. Never works on smart TV.,1.0,negative,Bug,0,4.5.4,2024-12-15 12:16:00
R000059,U004782,Watch Party,Watch party is okay but could use better friend invite options.,3.0,neutral,Too Many Steps,0,4.4.3,2024-12-31 06:52:00
R000060,U004617,Watch Party,My friends can never join. Garbage feature.,1.0,negative,Bug,0,4.3.2,2025-01-08 07:32:00
R000061,U004493,Watch Party,Watch party is okay but could use better friend invite options.,3.0,neutral,Too Many Steps,0,4.3.2,2024-11-10 01:48:00
R000062,U005096,Watch Party,The syncing is off. Our streams weren't in sync at all.,2.0,negative,Crashes,0,4.5.3,2024-08-10 16:47:00
R000063,U010011,Watch Party,"Watch party worked flawlessly. Great concept, please keep improving it!",,positive,Positive Experience,0,4.3.4,2024-08-30 05:37:00
R000064,U010760,Watch Party,The syncing is off. Our streams weren't in sync at all.,2.0,negative,Crashes,0,4.3.4,2025-02-21 04:37:00
R000065,U003334,Watch Party,"Invited 3 friends, app froze before we could even start. Useless.",1.0,negative,Bug,1,4.2.0,2025-01-19 04:31:00
R000066,U008640,Watch Party,This feature is a joke. Never works on smart TV.,1.0,negative,Bug,0,4.3.1,2024-10-07 21:35:00
R000067,U000218,Watch Party,Watch party crashes every single time I try to use it. Completely broken.,1.0,negative,Bug,1,4.5.1,2024-08-01 16:46:00
R000068,U006472,Watch Party,The syncing is off. Our streams weren't in sync at all. Really needs work.,2.0,negative,Crashes,1,4.1.0,2025-02-18 03:57:00
R000069,U011489,Watch Party,"Watch party worked flawlessly. Great concept, please keep improving it!",5.0,positive,Positive Experience,0,4.1.1,2025-01-09 17:27:00
R000070,U007589,Watch Party,This feature is a joke. Never works on smart TV.,1.0,negative,Bug,0,4.1.4,2024-08-10 08:56:00
R000071,U008221,Watch Party,"Invited 3 friends, app froze before we could even start. Useless.",1.0,negative,Bug,0,4.4.0,2024-10-24 18:18:00
R000072,U003693,Watch Party,Works sometimes. Hoping they improve stability.,3.0,neutral,Too Many Steps,0,4.3.0,2025-02-16 11:22:00
R000073,U011946,Watch Party,Watch party is okay but could use better friend invite options.,3.0,neutral,Too Many Steps,0,4.1.2,2025-02-23 04:40:00
R000074,U003885,Watch Party,The syncing is off. Our streams weren't in sync at all.,2.0,negative,Crashes,1,4.3.4,2025-01-09 19:10:00
R000075,U002507,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.2.0,2024-09-06 13:36:00
R000076,U003442,Watch Party,Works sometimes. Hoping they improve stability.,3.0,neutral,Too Many Steps,0,4.4.3,2024-11-19 15:08:00
R000077,U009426,Watch Party,"Watch party worked flawlessly. Great concept, please keep improving it!",5.0,positive,Positive Experience,0,4.3.0,2024-11-30 00:45:00
R000078,U000402,Watch Party,"Watch party sometimes works, but loading is painfully slow.",2.0,negative,Crashes,0,4.2.3,2024-11-18 21:18:00
R000079,U005348,Watch Party,Watch party crashes every single time I try to use it. Completely broken.,1.0,negative,Bug,0,4.3.0,2024-09-23 17:14:00
R000080,U011717,Watch Party,Room creation fails half the time. Very frustrating.,1.0,negative,Bug,0,4.1.4,2024-11-22 18:44:00
R000081,U007660,Watch Party,This feature is a joke. Never works on smart TV.,1.0,negative,Bug,0,4.3.1,2025-02-15 03:36:00
R000082,U002073,Watch Party,The syncing is off. Our streams weren't in sync at all.,2.0,negative,Crashes,0,4.5.3,2024-10-16 07:43:00
R000083,U009868,Watch Party,My friends can never join. Garbage feature.,1.0,negative,Bug,0,4.1.4,2024-09-01 23:45:00
R000084,U005294,Watch Party,My friends can never join. Garbage feature.,1.0,negative,Bug,0,4.2.3,2024-10-22 21:49:00
R000085,U005699,Watch Party,"Watch party sometimes works, but loading is painfully slow.",2.0,negative,Crashes,1,4.1.2,2024-10-12 01:33:00
R000086,U007129,Watch Party,My friends can never join. Garbage feature.,1.0,negative,Bug,0,4.5.2,2024-09-29 23:23:00
R000087,U003303,Watch Party,Watch party crashes every single time I try to use it. Completely broken.,1.0,negative,Bug,0,4.2.2,2024-10-07 18:07:00
R000088,U009003,Watch Party,Had to retry 3 times before the session started.,2.0,negative,Crashes,1,4.1.3,2024-12-15 21:53:00
R000089,U007391,Watch Party,Had to retry 3 times before the session started.,2.0,negative,Crashes,0,4.3.3,2024-11-01 05:40:00
R000090,U001291,Watch Party,"Invited 3 friends, app froze before we could even start. Useless. Really needs work.",1.0,negative,Bug,0,4.3.0,2024-08-11 05:04:00
R000091,U011529,Watch Party,Works sometimes. Hoping they improve stability.,3.0,neutral,Too Many Steps,0,4.1.2,2025-01-13 08:24:00
R000092,U011583,Watch Party,Watch party is okay but could use better friend invite options. Still waiting for a fix.,3.0,negative,Too Many Steps,0,4.1.0,2025-02-14 14:33:00
R000093,U008553,Watch Party,The syncing is off. Our streams weren't in sync at all.,,negative,Crashes,1,4.2.1,2024-09-11 01:19:00
R000094,U001185,Watch Party,"Invited 3 friends, app froze before we could even start. Useless.",1.0,negative,Bug,1,4.1.2,2024-12-05 11:31:00
R000095,U000426,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.5.1,2024-08-31 17:05:00
R000096,U005259,Watch Party,Had to retry 3 times before the session started.,2.0,negative,Crashes,0,4.5.2,2024-09-22 14:15:00
R000097,U000617,Watch Party,"Invited 3 friends, app froze before we could even start. Useless.",1.0,negative,Bug,0,4.1.3,2024-11-21 14:15:00
R000098,U001570,Watch Party,Room creation fails half the time. Very frustrating.,1.0,negative,Bug,1,4.2.1,2024-12-12 21:08:00
R000099,U001091,Watch Party,Works sometimes. Hoping they improve stability.,3.0,neutral,Too Many Steps,0,4.2.1,2024-10-14 01:19:00
R000100,U011372,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.1.3,2025-01-12 02:18:00
R000101,U006924,Watch Party,Room creation fails half the time. Very frustrating.,1.0,negative,Bug,0,4.4.3,2025-01-12 07:59:00
R000102,U010984,Watch Party,The syncing is off. Our streams weren't in sync at all. Still waiting for a fix.,2.0,negative,Crashes,0,4.4.0,2024-12-12 10:20:00
R000103,U009034,Watch Party,"Invited 3 friends, app froze before we could even start. Useless.",1.0,negative,Bug,0,4.2.3,2024-08-01 04:22:00
R000104,U010398,Watch Party,Watch party crashes every single time I try to use it. Completely broken.,1.0,negative,Bug,1,4.5.3,2024-09-27 02:57:00
R000105,U011172,Watch Party,Room creation fails half the time. Very frustrating.,1.0,negative,Bug,0,4.1.0,2024-12-11 19:21:00
R000106,U000956,Watch Party,"Watch party sometimes works, but loading is painfully slow.",2.0,negative,Crashes,1,4.5.0,2025-02-19 13:30:00
R000107,U000228,Watch Party,Watch party is okay but could use better friend invite options.,3.0,neutral,Too Many Steps,0,4.1.4,2025-02-12 22:51:00
R000108,U007423,Watch Party,"Watch party sometimes works, but loading is painfully slow.",2.0,negative,Crashes,1,4.4.3,2024-08-02 21:59:00
R000109,U002138,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.5.3,2025-02-12 03:27:00
R000110,U002591,Watch Party,Had to retry 3 times before the session started. Highly disappointing.,2.0,negative,Crashes,1,4.2.0,2024-08-15 00:21:00
R000111,U008101,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.3.0,2024-12-14 13:15:00
R000112,U011377,Watch Party,Watch party is okay but could use better friend invite options.,3.0,neutral,Too Many Steps,0,4.5.3,2024-08-29 18:10:00
R000113,U010032,Watch Party,"Watch party worked flawlessly. Great concept, please keep improving it! Highly disappointing.",5.0,positive,Positive Experience,0,4.4.3,2024-11-03 20:50:00
R000114,U004267,Watch Party,Room creation fails half the time. Very frustrating.,1.0,negative,Bug,0,4.4.2,2024-08-16 10:52:00
R000115,U007255,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.4.0,2024-12-25 02:13:00
R000116,U009207,Watch Party,Had to retry 3 times before the session started.,2.0,negative,Crashes,0,4.2.2,2024-11-22 05:54:00
R000117,U006700,Watch Party,Watch party is okay but could use better friend invite options.,3.0,neutral,Too Many Steps,0,4.4.2,2025-02-22 05:19:00
R000118,U002807,Watch Party,Managed to have a watch party last night. Was fun once it worked!,,positive,Performance,0,4.4.1,2024-12-30 22:50:00
R000119,U008417,Watch Party,Watch party crashes every single time I try to use it. Completely broken.,1.0,negative,Bug,1,4.1.2,2024-09-15 15:49:00
R000120,U011729,Watch Party,Watch party is okay but could use better friend invite options.,3.0,neutral,Too Many Steps,0,4.1.1,2024-11-06 00:37:00
R000121,U002353,Watch Party,"Watch party worked flawlessly. Great concept, please keep improving it! Really needs work.",5.0,positive,Positive Experience,0,4.2.2,2025-01-29 05:57:00
R000122,U011175,Watch Party,Works sometimes. Hoping they improve stability. Really needs work.,3.0,neutral,Too Many Steps,0,4.1.0,2024-10-04 08:51:00
R000123,U007802,Watch Party,Watch party crashes every single time I try to use it. Completely broken.,1.0,negative,Bug,1,4.5.0,2024-08-07 17:44:00
R000124,U011596,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.5.4,2024-11-24 12:50:00
R000125,U001053,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.5.0,2024-08-19 08:33:00
R000126,U001622,Watch Party,WATCH PARTY CRASHES EVERY SINGLE TIME I TRY TO USE IT. COMPLETELY BROKEN.,1.0,negative,Bug,0,4.3.1,2024-08-28 15:13:00
R000127,U003110,Watch Party,Room creation fails half the time. Very frustrating. Highly disappointing.,1.0,negative,Bug,0,4.5.1,2024-12-21 04:48:00
R000128,U008598,Watch Party,The syncing is off. Our streams weren't in sync at all.,2.0,negative,Crashes,0,4.3.2,2024-11-20 23:29:00
R000129,U004410,Watch Party,"Watch party worked flawlessly. Great concept, please keep improving it!",5.0,positive,Positive Experience,0,4.5.4,2024-09-11 09:19:00
R000130,U010482,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.2.1,2025-01-10 01:02:00
R000131,U007529,Watch Party,MY FRIENDS CAN NEVER JOIN. GARBAGE FEATURE.,1.0,negative,Bug,0,4.1.0,2024-11-22 16:19:00
R000132,U007799,Watch Party,This feature is a joke. Never works on smart TV.,1.0,negative,Bug,1,4.2.0,2024-09-22 14:16:00
R000133,U009559,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.3.4,2024-09-16 10:49:00
R000134,U005010,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.4.2,2024-12-27 09:56:00
R000135,U001359,Watch Party,This feature is a joke. Never works on smart TV.,1.0,negative,Bug,0,4.3.1,2025-01-29 04:40:00
R000136,U006304,Watch Party,"Watch party worked flawlessly. Great concept, please keep improving it! Please improve.",,positive,Positive Experience,0,4.2.3,2025-01-14 10:43:00
R000137,U002433,Watch Party,This feature is a joke. Never works on smart TV.,1.0,negative,Bug,0,4.2.3,2025-01-31 10:19:00
R000138,U002834,Watch Party,This feature is a joke. Never works on smart TV.,1.0,negative,Bug,0,4.4.4,2025-02-18 14:41:00
R000139,U009806,Watch Party,My friends can never join. Garbage feature. Still waiting for a fix.,1.0,negative,Bug,0,4.3.3,2025-01-04 09:28:00
R000140,U001478,Watch Party,"Watch party sometimes works, but loading is painfully slow.",2.0,positive,Crashes,1,4.5.1,2024-12-06 11:42:00
R000141,U011187,Watch Party,Watch party crashes every single time I try to use it. Completely broken.,1.0,negative,Bug,1,4.2.2,2025-02-26 09:20:00
R000142,U009799,Watch Party,"INVITED 3 FRIENDS, APP FROZE BEFORE WE COULD EVEN START. USELESS. PLEASE IMPROVE.",1.0,negative,Bug,1,4.4.1,2024-10-02 13:52:00
R000143,U007912,Watch Party,Managed to have a watch party last night. Was fun once it worked! Please improve.,4.0,negative,Performance,0,4.5.2,2024-11-22 22:10:00
R000144,U002264,Watch Party,"Watch party sometimes works, but loading is painfully slow.",2.0,negative,Crashes,0,4.5.0,2024-09-22 08:44:00
R000145,U011791,Watch Party,Watch party is okay but could use better friend invite options.,3.0,neutral,Too Many Steps,0,4.2.2,2025-02-07 23:57:00
R000146,U011273,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.2.4,2024-11-24 19:21:00
R000147,U005128,Watch Party,Had to retry 3 times before the session started. Really needs work.,2.0,negative,Crashes,0,4.4.1,2024-11-17 23:20:00
R000148,U002153,Watch Party,Works sometimes. Hoping they improve stability.,3.0,neutral,Too Many Steps,0,4.1.0,2024-10-29 03:27:00
R000149,U003439,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.4.1,2024-08-27 00:13:00
R000150,U010178,Watch Party,Watch party crashes every single time I try to use it. Completely broken.,1.0,negative,Bug,0,4.5.0,2024-11-11 15:58:00
R000151,U007241,Watch Party,"Invited 3 friends, app froze before we could even start. Useless.",1.0,negative,Bug,1,4.1.1,2024-11-02 23:07:00
R000152,U006870,Watch Party,The syncing is off. Our streams weren't in sync at all.,2.0,negative,Crashes,1,4.2.0,2025-02-27 19:37:00
R000153,U000830,Watch Party,"Invited 3 friends, app froze before we could even start. Useless.",1.0,negative,Bug,1,4.5.2,2024-12-31 06:39:00
R000154,U009269,Watch Party,This feature is a joke. Never works on smart TV.,1.0,positive,Bug,0,4.2.0,2025-02-25 20:20:00
R000155,U008033,Watch Party,Had to retry 3 times before the session started.,2.0,negative,Crashes,0,4.1.4,2025-02-13 20:13:00
R000156,U003387,Watch Party,"Invited 3 friends, app froze before we could even start. Useless.",1.0,negative,Bug,0,4.1.2,2024-09-03 20:04:00
R000157,U003490,Watch Party,"Watch party sometimes works, but loading is painfully slow.",2.0,negative,Crashes,1,4.4.1,2024-12-12 05:41:00
R000158,U001524,Watch Party,This feature is a joke. Never works on smart TV.,1.0,negative,Bug,0,4.5.0,2024-10-20 02:32:00
R000159,U007581,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.4.4,2024-11-29 21:57:00
R000160,U006176,Watch Party,Watch party crashes every single time I try to use it. Completely broken.,1.0,negative,Bug,1,4.5.4,2024-10-23 15:33:00
R000161,U006921,Watch Party,Had to retry 3 times before the session started.,2.0,negative,Crashes,1,4.2.2,2024-11-07 21:50:00
R000162,U003585,Watch Party,Works sometimes. Hoping they improve stability.,3.0,neutral,Too Many Steps,0,4.4.2,2024-11-23 23:57:00
R000163,U011687,Watch Party,Room creation fails half the time. Very frustrating.,1.0,negative,Bug,0,4.3.0,2024-12-15 13:18:00
R000164,U003535,Watch Party,"Invited 3 friends, app froze before we could even start. Useless.",1.0,negative,Bug,0,4.1.4,2024-08-04 17:33:00
R000165,U006022,Watch Party,Room creation fails half the time. Very frustrating.,1.0,negative,Bug,0,4.4.1,2025-01-25 07:16:00
R000166,U002535,Watch Party,Watch party crashes every single time I try to use it. Completely broken.,1.0,negative,Bug,1,4.1.2,2024-10-30 14:26:00
R000167,U010316,Watch Party,"Watch party sometimes works, but loading is painfully slow.",2.0,negative,Crashes,0,4.4.3,2025-01-14 23:03:00
R000168,U009172,Watch Party,This feature is a joke. Never works on smart TV.,1.0,negative,Bug,0,4.4.3,2024-08-21 21:51:00
R000169,U010392,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.4.2,2024-12-09 07:38:00
R000170,U009446,Watch Party,The syncing is off. Our streams weren't in sync at all.,2.0,negative,Crashes,0,4.4.3,2024-08-10 14:58:00
R000171,U002059,Watch Party,"Invited 3 friends, app froze before we could even start. Useless.",1.0,negative,Bug,1,4.4.4,2025-02-08 12:04:00
R000172,U008672,Watch Party,Works sometimes. Hoping they improve stability.,3.0,neutral,Too Many Steps,0,4.1.2,2024-11-03 01:31:00
R000173,U007165,Watch Party,"Watch party sometimes works, but loading is painfully slow. Highly disappointing.",2.0,negative,Crashes,1,4.4.3,2024-12-18 02:07:00
R000174,U003825,Watch Party,Had to retry 3 times before the session started.,2.0,negative,Crashes,0,4.1.2,2024-09-18 16:54:00
R000175,U004449,Watch Party,The syncing is off. Our streams weren't in sync at all. Still waiting for a fix.,2.0,negative,Crashes,1,4.5.2,2024-08-12 13:56:00
R000176,U011284,Watch Party,Had to retry 3 times before the session started.,2.0,negative,Crashes,0,4.5.4,2024-12-30 09:48:00
R000177,U002195,Watch Party,Watch party crashes every single time I try to use it. Completely broken.,1.0,negative,Bug,0,4.2.4,2025-02-14 19:38:00
R000178,U001600,Watch Party,WATCH PARTY CRASHES EVERY SINGLE TIME I TRY TO USE IT. COMPLETELY BROKEN.,1.0,neutral,Bug,1,4.1.0,2024-10-25 11:25:00
R000179,U009843,Watch Party,ROOM CREATION FAILS HALF THE TIME. VERY FRUSTRATING.,1.0,negative,Bug,1,4.3.1,2025-02-19 01:05:00
R000180,U006255,Watch Party,Watch party crashes every single time I try to use it. Completely broken.,1.0,negative,Bug,0,4.1.4,2024-12-13 08:09:00
R000181,U006983,Watch Party,"Watch party sometimes works, but loading is painfully slow.",2.0,negative,Crashes,1,4.2.4,2024-11-23 18:01:00
R000182,U011206,Watch Party,My friends can never join. Garbage feature.,1.0,negative,Bug,1,4.2.1,2024-12-18 04:23:00
R000183,U001047,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.4.4,2024-09-16 22:39:00
R000184,U008824,Watch Party,"Watch party sometimes works, but loading is painfully slow.",2.0,negative,Crashes,0,4.5.0,2024-11-18 09:35:00
R000185,U005688,Watch Party,The syncing is off. Our streams weren't in sync at all.,2.0,negative,Crashes,1,4.3.0,2025-01-09 08:27:00
R000186,U000945,Watch Party,Works sometimes. Hoping they improve stability.,3.0,neutral,Too Many Steps,0,4.1.2,2025-02-13 23:30:00
R000187,U009111,Watch Party,The syncing is off. Our streams weren't in sync at all.,2.0,negative,Crashes,0,4.3.4,2024-10-01 07:41:00
R000188,U009961,Watch Party,The syncing is off. Our streams weren't in sync at all. Still waiting for a fix.,2.0,negative,Crashes,1,4.2.4,2024-11-25 20:21:00
R000189,U003401,Watch Party,"Watch party sometimes works, but loading is painfully slow.",2.0,negative,Crashes,0,4.5.2,2024-12-20 12:55:00
R000190,U010007,Watch Party,My friends can never join. Garbage feature.,1.0,neutral,Bug,1,4.4.4,2024-12-27 21:52:00
R000191,U011304,Watch Party,Managed to have a watch party last night. Was fun once it worked! Still waiting for a fix.,4.0,positive,Performance,0,4.3.0,2024-11-12 19:18:00
R000192,U003914,Watch Party,Watch party is okay but could use better friend invite options.,3.0,neutral,Too Many Steps,0,4.3.1,2024-09-17 04:24:00
R000193,U011180,Watch Party,"Invited 3 friends, app froze before we could even start. Useless. Still waiting for a fix.",1.0,negative,Bug,0,4.2.4,2025-02-05 16:42:00
R000194,U004955,Watch Party,"Invited 3 friends, app froze before we could even start. Useless.",1.0,negative,Bug,0,4.1.4,2024-10-12 12:35:00
R000195,U009507,Watch Party,Managed to have a watch party last night. Was fun once it worked!,4.0,positive,Performance,0,4.5.2,2024-09-15 20:35:00
R000196,U007224,Watch Party,Had to retry 3 times before the session started.,2.0,negative,Crashes,1,4.2.0,2025-01-21 09:21:00
R000197,U006222,Watch Party,Watch party is okay but could use better friend invite options.,3.0,neutral,Too Many Steps,0,4.5.4,2024-09-22 16:08:00
R000198,U000432,Watch Party,My friends can never join. Garbage feature.,1.0,negative,Bug,0,4.1.1,2024-11-26 23:13:00
R000199,U007361,Watch Party,My friends can never join. Garbage feature.,1.0,negative,Bug,1,4.3.1,2024-10-07 03:33:00
R000200,U009303,Watch Party,Watch party is okay but could use better friend invite options.,3.0,neutral,Too Many Steps,0,4.2.0,2024-11-03 21:00:00
R000201,U003795,Watch Party,The syncing is off. Our streams weren't in sync at all.,2.0,negative,Crashes,1,4.5.0,2024-10-06 13:24:00
